concept,frequency
andritz:PaymentsMadeForBankLoansOtherFinancialLiabilitiesAndLeaseLiabilities,4
ifrs-full:CurrentDerivativeFinancialAssets,2
ifrs-full:CurrentLiabilities,10
andritz:EarningsBeforeInterestTaxesDepreciationAndAmortizationEbitda,4
ifrs-full:Liabilities,2
ifrs-full:PurchaseOfInterestsInAssociates,2
ifrs-full:FinanceCosts,10
ifrs-full:CashFlowsFromUsedInOperatingActivitiesDiscontinuedOperations,2
sixt:IncreaseShareBasedPaymentTransactions,18
sixt:RentalVehicles,2
ifrs-full:OtherReserves,2
ifrs-full:IssuedCapital,10
sixt:CurrentProfitLossFromDiscontinuedOperations,2
ifrs-full:TradeAndOtherCurrentPayablesToTradeSuppliers,4
sixt:DepreciationPropertyAndEquipment,2
ifrs-full:ProfitLossFromContinuingOperations,2
ifrs-full:AddressOfRegisteredOfficeOfEntity,5
ifrs-full:IncomeTaxRelatingToCashFlowHedgesOfOtherComprehensiveIncome,2
ifrs-full:IncreaseDecreaseInWorkingCapital,4
ifrs-full:DividendsPaid,42
sixt:DecreaseShareBasedPaymentTransactions,18
ifrs-full:OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments,4
andritz:ContractLiabilitiesFromSalesRecognizedOverTime,4
ifrs-full:Revenue,10
